Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2015-03-19,23.0,23.115,22.7075,22.8375,20.8037,5855600,0.0,0.0,0.0
2015-03-20,23.2275,23.655,23.2,23.4475,21.3594,7083600,0.0,0.0,0.0
2015-03-23,23.4625,23.6825,23.32,23.32,21.2432,3964400,0.0,0.0,0.0
2015-03-24,23.25,23.4475,22.8925,22.91,20.8697,3142800,0.0,0.0,0.0
2015-03-25,23.0175,23.1025,21.9025,21.92,19.9679,6795600,0.0,0.0,0.0
2015-03-26,21.67,22.1,21.3875,21.76,19.8221,5020800,0.0,0.0,0.0
2015-03-27,21.71,21.975,21.645,21.89,19.9406,3301200,0.0,0.0,0.0
2015-03-30,22.2875,22.8125,22.2875,22.7,20.6784,3756400,0.0,0.0,0.0
2015-03-31,22.375,22.65,22.0875,22.11,20.141,5350000,0.0,0.0,0.0
2015-04-01,22.085,22.095,21.4875,21.895,19.9451,6756400,0.0,0.0,0.0
2015-04-02,21.825,22.27,21.775,22.0725,20.1068,2658000,0.0,0.0,0.0
2015-04-06,21.7475,22.7375,21.71,22.54,20.5327,4580800,0.0,0.0,0.0
2015-04-07,22.555,22.8475,22.3475,22.3575,20.3664,8103200,0.0,0.0,0.0
2015-04-08,22.46,22.75,22.2925,22.585,20.5737,3964800,0.0,0.0,0.0
2015-04-09,22.5375,22.9725,22.3375,22.9,20.8606,3760400,0.0,0.0,0.0
2015-04-10,22.9775,23.27,22.915,23.25,21.1794,3034800,0.0,0.0,0.0
2015-04-13,23.195,23.4375,22.9275,22.935,20.8925,2737200,0.0,0.0,0.0
2015-04-14,22.9075,23.1375,22.6175,23.0625,21.0086,3308000,0.0,0.0,0.0
2015-04-15,23.28,23.575,23.22,23.3875,21.3047,2891600,0.0,0.0,0.0
2015-04-16,23.2625,23.555,23.1725,23.35,21.2705,3704400,0.0,0.0,0.0
2015-04-17,22.875,22.97,22.2425,22.5475,20.5395,5562000,0.0,0.0,0.0
2015-04-20,22.9225,23.2925,22.88,23.1525,21.0906,3237600,0.0,0.0,0.0
2015-04-21,23.425,23.4875,22.97,23.0775,21.0223,2501600,0.0,0.0,0.0
2015-04-22,23.215,23.4875,22.855,23.43,21.3434,2893600,0.0,0.0,0.0
2015-04-23,23.27,23.8575,23.2225,23.585,21.4846,3532000,0.0,0.0,0.0
2015-04-24,23.7725,23.855,23.58,23.76,21.644,3410400,0.0,0.0,0.0
2015-04-27,23.9925,24.03,23.3875,23.45,21.3616,4161600,0.0,0.0,0.0
2015-04-28,23.4575,23.7,22.975,23.665,21.5575,3145200,0.0,0.0,0.0
2015-04-29,23.3125,23.625,23.0625,23.385,21.3024,4552400,0.0,0.0,0.0
2015-04-30,23.1725,23.315,22.405,22.69,20.6693,5361600,0.0,0.0,0.0
2015-05-01,23.0075,23.4275,22.955,23.3925,21.3093,3911600,0.0,0.0,0.0
2015-05-04,23.585,23.84,23.525,23.6175,21.5142,2504000,0.0,0.0,0.0
2015-05-05,23.5125,23.655,22.75,22.7875,20.7581,5709200,0.0,0.0,0.0
2015-05-06,23.02,23.135,22.0975,22.525,20.519,5902800,0.0,0.0,0.0
2015-05-07,22.475,22.95,22.3525,22.7825,20.7536,2841200,0.0,0.0,0.0
2015-05-08,23.42,23.755,23.4125,23.6725,21.5643,5646400,0.0,0.0,0.0
2015-05-11,23.625,23.7725,23.315,23.335,21.2569,2749200,0.0,0.0,0.0
2015-05-12,23.0,23.345,22.6775,23.115,21.0565,4905600,0.0,0.0,0.0
2015-05-13,23.305,23.5525,23.055,23.1425,21.0815,3053600,0.0,0.0,0.0
2015-05-14,23.54,23.895,23.43,23.855,21.7306,4100000,0.0,0.0,0.0
2015-05-15,23.9025,23.9975,23.7425,23.935,21.8034,2512000,0.0,0.0,0.0
2015-05-18,23.87,24.265,23.8575,24.16,22.0084,2219200,0.0,0.0,0.0
2015-05-19,24.2325,24.315,24.0225,24.1225,21.9742,2594800,0.0,0.0,0.0
2015-05-20,24.1925,24.3875,23.9375,24.0725,21.9287,3259200,0.0,0.0,0.0
2015-05-21,24.0175,24.375,23.96,24.2875,22.1245,2053200,0.0,0.0,0.0
2015-05-22,24.1425,24.305,24.09,24.1075,21.9606,3253200,0.0,0.0,0.0
2015-05-26,23.9175,23.945,23.175,23.365,21.2842,4937600,0.0,0.0,0.0
2015-05-27,23.535,24.09,23.395,23.99,21.8535,3112800,0.0,0.0,0.0
2015-05-28,23.885,23.9625,23.6375,23.9325,21.8012,2888800,0.0,0.0,0.0
2015-05-29,23.8925,23.8925,23.36,23.465,21.3753,3533200,0.0,0.0,0.0
2015-06-01,23.7425,23.8675,23.2925,23.6025,21.5006,3552400,0.0,0.0,0.0
2015-06-02,23.4125,23.815,23.1775,23.52,21.4254,4184000,0.0,0.0,0.0
2015-06-03,23.75,23.9775,23.535,23.7275,21.6144,3149200,0.0,0.0,0.0
2015-06-04,23.4575,23.675,22.995,23.17,21.1066,6186800,0.0,0.0,0.0
2015-06-05,23.0825,23.2625,22.75,22.99,20.9426,5020800,0.0,0.0,0.0
2015-06-08,22.955,23.015,22.5425,22.575,20.5646,3946800,0.0,0.0,0.0
2015-06-09,22.5775,22.77,22.32,22.5425,20.535,4368000,0.0,0.0,0.0
2015-06-10,22.905,23.52,22.8275,23.37,21.2888,6863600,0.0,0.0,0.0
2015-06-11,23.55,23.745,23.455,23.59,21.4892,3692400,0.0,0.0,0.0
2015-06-12,23.26,23.315,22.9425,23.0575,21.0041,4469600,0.0,0.0,0.0
2015-06-15,22.625,22.865,22.325,22.7225,20.6989,7172800,0.0,0.0,0.0
2015-06-16,22.6875,23.155,22.6225,23.12,21.061,3422400,0.0,0.0,0.0
2015-06-17,23.26,23.4675,22.83,23.23,21.1612,6564400,0.0,0.0,0.0
2015-06-18,23.48,24.1375,23.43,23.9325,21.8012,6645200,0.0,0.0,0.0
2015-06-19,23.8725,23.8825,23.5075,23.5075,21.414,2579200,0.0,0.0,0.0
2015-06-22,24.01,24.2275,23.92,23.99,21.8535,4542000,0.0,0.0,0.0
2015-06-23,24.1,24.175,23.89,24.0475,21.9059,2542000,0.0,0.0,0.0
2015-06-24,23.93,24.0875,23.52,23.5275,21.4322,2460800,0.0,0.0,0.0
2015-06-25,23.7225,23.77,23.2925,23.305,21.2296,2606000,0.0,0.0,0.0
2015-06-26,23.46,23.5325,23.075,23.295,21.2204,3094800,0.0,0.0,0.0
2015-06-29,22.7225,22.9575,21.8125,21.83,19.8859,8873600,0.0,0.0,0.0
2015-06-30,22.4375,22.4675,21.785,21.9925,20.0339,9398400,0.0,0.0,0.0
2015-07-01,22.5875,22.655,22.2,22.465,20.4644,6888800,0.0,0.0,0.0
